,Date-Time,Soil Moisture,Temperature,Humidity
0,2021-05-25 15:51:20,144,32.5,77
1,2021-05-25 15:51:44,162,32.6,76
2,2021-05-25 15:51:44,169,32.6,76
3,2021-05-25 15:52:32,171,32.6,75
4,2021-05-25 15:52:59,213,32.8,75
5,2021-05-25 15:53:24,224,32.8,75
6,2021-05-25 15:53:49,159,32.9,75
7,2021-05-25 15:54:14,163,32.8,75
8,2021-05-25 15:54:38,224,32.8,75
9,2021-05-25 15:55:25,159,32.9,76
10,2021-05-25 15:55:25,172,32.9,74
11,2021-05-25 15:56:18,160,32.9,74
12,2021-05-25 15:56:48,154,32.9,73
13,2021-05-25 15:56:48,218,32.8,73
14,2021-05-25 15:57:39,205,33.1,74
