,Date-Time,Soil Moisture,Temperature,Humidity
0,26 18:17:00,893,31.6,73
1,26 18:17:20,895,31.6,73
2,26 18:17:40,894,31.5,72
3,26 18:18:01,859,31.6,72
4,26 18:18:20,895,31.7,72
5,26 18:18:41,895,31.7,72
6,26 18:19:01,895,31.7,72
7,26 18:19:21,895,31.7,72
8,26 18:19:41,903,31.6,73
9,26 18:20:01,898,31.6,73
10,26 18:20:21,907,31.5,74
11,26 18:20:41,904,31.5,74
12,26 18:21:01,904,31.5,74
13,26 18:21:21,904,31.5,74
14,26 18:21:41,904,31.5,74
15,26 18:22:01,904,31.5,74
16,26 18:22:21,900,31.5,73
