,Date-Time,Soil Moisture,Temperature,Humidity
0,16 18:17:00,415,31.6,73
1,16 18:17:20,418,31.6,73
2,16 18:17:40,425,31.5,74
3,16 18:18:01,426,31.6,72
4,16 18:18:20,411,31.7,72
5,16 18:18:41,420,31.7,73
6,16 18:19:01,422,31.7,72
7,16 18:19:21,422,31.7,72
8,16 18:19:41,430,31.6,73
9,16 18:20:01,428,31.6,73
10,16 18:20:21,438,31.5,74
11,16 18:20:41,445,31.5,74
12,16 18:21:01,442,31.5,73
13,16 18:21:21,431,31.5,74
14,16 18:21:41,448,31.5,74
15,16 18:22:01,450,31.5,74
16,16 18:22:21,443,31.5,73
